Date,Product_ID,Store_ID,Units_Sold,Revenue,Promotion,Holiday
2022-01-01,P001,S01,31,139500.0,0,1
2022-01-01,P001,S02,23,103500.0,0,1
2022-01-01,P001,S03,25,112500.0,0,1
2022-01-01,P001,S04,24,108000.0,0,1
2022-01-01,P001,S05,24,108000.0,0,1
2022-01-01,P001,S06,28,102230.58,1,1
2022-01-01,P002,S01,69,82800.0,0,1
2022-01-01,P002,S02,66,79200.0,0,1
2022-01-01,P002,S03,67,80400.0,0,1
2022-01-01,P002,S04,92,100621.61,1,1
2022-01-01,P002,S05,54,64800.0,0,1
2022-01-01,P002,S06,56,67200.0,0,1
2022-01-01,P003,S01,407,118386.46,1,1
2022-01-01,P003,S02,285,99750.0,0,1
2022-01-01,P003,S03,255,89250.0,0,1
2022-01-01,P003,S04,361,98474.17,1,1
2022-01-01,P003,S05,381,126437.06,1,1
2022-01-01,P003,S06,191,66850.0,0,1
2022-01-01,P004,S01,12,102000.0,0,1
2022-01-01,P004,S02,21,139747.52,1,1
2022-01-01,P004,S03,11,93500.0,0,1
2022-01-01,P004,S04,11,93500.0,0,1
2022-01-01,P004,S05,18,128645.56,1,1
2022-01-01,P004,S06,8,68000.0,0,1
2022-01-01,P005,S01,77,149013.39,1,1
2022-01-01,P005,S02,45,99000.0,0,1
2022-01-01,P005,S03,44,96800.0,0,1
2022-01-01,P005,S04,56,116340.47,1,1
2022-01-01,P005,S05,36,79200.0,0,1
2022-01-01,P005,S06,35,77000.0,0,1
2022-01-02,P001,S01,18,81000.0,0,0
2022-01-02,P001,S02,15,67500.0,0,0
2022-01-02,P001,S03,29,92593.09,1,0
2022-01-02,P001,S04,18,81000.0,0,0
2022-01-02,P001,S05,14,63000.0,0,0
2022-01-02,P001,S06,21,87497.76,1,0
2022-01-02,P002,S01,51,61200.0,0,0
2022-01-02,P002,S02,38,45600.0,0,0
2022-01-02,P002,S03,45,54000.0,0,0
2022-01-02,P002,S04,37,44400.0,0,0
2022-01-02,P002,S05,65,65991.76,1,0
2022-01-02,P002,S06,36,43200.0,0,0
2022-01-02,P003,S01,288,80951.36,1,0
2022-01-02,P003,S02,154,53900.0,0,0
2022-01-02,P003,S03,143,50050.0,0,0
2022-01-02,P003,S04,167,58450.0,0,0
2022-01-02,P003,S05,167,58450.0,0,0
2022-01-02,P003,S06,142,49700.0,0,0
2022-01-02,P004,S01,13,90591.42,1,0
2022-01-02,P004,S02,13,82148.69,1,0
2022-01-02,P004,S03,10,68976.73,1,0
2022-01-02,P004,S04,7,59500.0,0,0
2022-01-02,P004,S05,8,68000.0,0,0
2022-01-02,P004,S06,5,42500.0,0,0
2022-01-02,P005,S01,29,63800.0,0,0
2022-01-02,P005,S02,34,74800.0,0,0
2022-01-02,P005,S03,46,83109.05,1,0
2022-01-02,P005,S04,24,52800.0,0,0
2022-01-02,P005,S05,27,59400.0,0,0
2022-01-02,P005,S06,23,50600.0,0,0
2022-01-03,P001,S01,17,76500.0,0,0
2022-01-03,P001,S02,17,76500.0,0,0
2022-01-03,P001,S03,13,58500.0,0,0
2022-01-03,P001,S04,16,72000.0,0,0
2022-01-03,P001,S05,26,105906.4,1,0
2022-01-03,P001,S06,11,49500.0,0,0
2022-01-03,P002,S01,42,50400.0,0,0
2022-01-03,P002,S02,75,85186.43,1,0
2022-01-03,P002,S03,45,42151.61,1,0
2022-01-03,P002,S04,28,33600.0,0,0
2022-01-03,P002,S05,61,54824.52,1,0
2022-01-03,P002,S06,28,33600.0,0,0
2022-01-03,P003,S01,180,63000.0,0,0
2022-01-03,P003,S02,147,51450.0,0,0
2022-01-03,P003,S03,246,69844.36,1,0
2022-01-03,P003,S04,217,69487.8,1,0
2022-01-03,P003,S05,124,43400.0,0,0
2022-01-03,P003,S06,111,38850.0,0,0
2022-01-03,P004,S01,11,86273.76,1,0
2022-01-03,P004,S02,7,59500.0,0,0
2022-01-03,P004,S03,8,68000.0,0,0
2022-01-03,P004,S04,7,59500.0,0,0
2022-01-03,P004,S05,5,42500.0,0,0
2022-01-03,P004,S06,5,42500.0,0,0
2022-01-03,P005,S01,24,52800.0,0,0
2022-01-03,P005,S02,32,70400.0,0,0
2022-01-03,P005,S03,27,59400.0,0,0
2022-01-03,P005,S04,35,67669.14,1,0
2022-01-03,P005,S05,36,74821.27,1,0
2022-01-03,P005,S06,34,70061.76,1,0
2022-01-04,P001,S01,18,81000.0,0,0
2022-01-04,P001,S02,15,67500.0,0,0
2022-01-04,P001,S03,32,130266.06,1,0
2022-01-04,P001,S04,14,63000.0,0,0
2022-01-04,P001,S05,23,88657.73,1,0
2022-01-04,P001,S06,20,66747.18,1,0
2022-01-04,P002,S01,47,56400.0,0,0
2022-01-04,P002,S02,38,45600.0,0,0
2022-01-04,P002,S03,36,43200.0,0,0
2022-01-04,P002,S04,54,52875.7,1,0
2022-01-04,P002,S05,34,40800.0,0,0
2022-01-04,P002,S06,28,33600.0,0,0
2022-01-04,P003,S01,205,71750.0,0,0
2022-01-04,P003,S02,154,53900.0,0,0
2022-01-04,P003,S03,145,50750.0,0,0
2022-01-04,P003,S04,159,55650.0,0,0
2022-01-04,P003,S05,167,58450.0,0,0
2022-01-04,P003,S06,115,40250.0,0,0
2022-01-04,P004,S01,8,68000.0,0,0
2022-01-04,P004,S02,7,59500.0,0,0
2022-01-04,P004,S03,8,68000.0,0,0
2022-01-04,P004,S04,9,54775.15,1,0
2022-01-04,P004,S05,7,59500.0,0,0
2022-01-04,P004,S06,5,42500.0,0,0
2022-01-04,P005,S01,26,57200.0,0,0
2022-01-04,P005,S02,31,68200.0,0,0
2022-01-04,P005,S03,26,57200.0,0,0
2022-01-04,P005,S04,26,57200.0,0,0
2022-01-04,P005,S05,25,55000.0,0,0
2022-01-04,P005,S06,33,67378.08,1,0
2022-01-05,P001,S01,19,85500.0,0,0
2022-01-05,P001,S02,17,76500.0,0,0
2022-01-05,P001,S03,15,67500.0,0,0
2022-01-05,P001,S04,24,98609.85,1,0
2022-01-05,P001,S05,16,72000.0,0,0
2022-01-05,P001,S06,12,54000.0,0,0
2022-01-05,P002,S01,49,58800.0,0,0
2022-01-05,P002,S02,43,51600.0,0,0
2022-01-05,P002,S03,29,34800.0,0,0
2022-01-05,P002,S04,33,39600.0,0,0
2022-01-05,P002,S05,29,34800.0,0,0
2022-01-05,P002,S06,31,37200.0,0,0
2022-01-05,P003,S01,141,49350.0,0,0
2022-01-05,P003,S02,152,53200.0,0,0
2022-01-05,P003,S03,153,53550.0,0,0
2022-01-05,P003,S04,225,57152.15,1,0
2022-01-05,P003,S05,141,49350.0,0,0
2022-01-05,P003,S06,203,51322.29,1,0
2022-01-05,P004,S01,13,104825.0,1,0
2022-01-05,P004,S02,6,51000.0,0,0
2022-01-05,P004,S03,7,59500.0,0,0
2022-01-05,P004,S04,7,59500.0,0,0
2022-01-05,P004,S05,6,51000.0,0,0
2022-01-05,P004,S06,10,70028.72,1,0
2022-01-05,P005,S01,26,57200.0,0,0
2022-01-05,P005,S02,26,57200.0,0,0
2022-01-05,P005,S03,21,46200.0,0,0
2022-01-05,P005,S04,37,64788.11,1,0
2022-01-05,P005,S05,26,57200.0,0,0
2022-01-05,P005,S06,28,55693.59,1,0
2022-01-06,P001,S01,17,76500.0,0,0
2022-01-06,P001,S02,19,85500.0,0,0
2022-01-06,P001,S03,17,76500.0,0,0
2022-01-06,P001,S04,14,63000.0,0,0
2022-01-06,P001,S05,17,76500.0,0,0
2022-01-06,P001,S06,19,78358.73,1,0
2022-01-06,P002,S01,44,52800.0,0,0
2022-01-06,P002,S02,36,43200.0,0,0
2022-01-06,P002,S03,33,39600.0,0,0
2022-01-06,P002,S04,65,65941.2,1,0
2022-01-06,P002,S05,36,43200.0,0,0
2022-01-06,P002,S06,31,37200.0,0,0
2022-01-06,P003,S01,191,66850.0,0,0
2022-01-06,P003,S02,211,73850.0,0,0
2022-01-06,P003,S03,152,53200.0,0,0
2022-01-06,P003,S04,129,45150.0,0,0
2022-01-06,P003,S05,124,43400.0,0,0
2022-01-06,P003,S06,129,45150.0,0,0
2022-01-06,P004,S01,7,59500.0,0,0
2022-01-06,P004,S02,8,68000.0,0,0
2022-01-06,P004,S03,5,42500.0,0,0
2022-01-06,P004,S04,6,51000.0,0,0
2022-01-06,P004,S05,4,34000.0,0,0
2022-01-06,P004,S06,6,51000.0,0,0
2022-01-06,P005,S01,23,50600.0,0,0
2022-01-06,P005,S02,27,59400.0,0,0
2022-01-06,P005,S03,27,59400.0,0,0
2022-01-06,P005,S04,42,68461.37,1,0
